ANO_ELEICAO,ESTADO,GENERO,GRAU_INSTRUCAO,ESTADO_CIVIL,COR_RACA,IDADE,FAIXA_ETARIA,FAIXA_ETARIA_IBGE,CIDNAS_IGUAL_CIDCAND,CAND_PURA_S_COLIG,REELEICAO,SITUACAO_FINAL
2020,PB,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,53.0,50 – 59 ANOS,50 – 54 ANOS,NAO,NAO,N,NÃO ELEITO
2020,PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,50.0,50 – 59 ANOS,50 – 54 ANOS,SIM,SIM,N,NÃO ELEITO
2020,GO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,52.0,50 – 59 ANOS,50 – 54 ANOS,NAO,SIM,N,NÃO ELEITO
2020,MG,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),BRANCA,48.0,40 – 49 ANOS,45 – 49 ANOS,NAO,NAO,N,NÃO ELEITO
2020,MA,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,36.0,30 – 39 ANOS,35 – 39 ANOS,NAO,NAO,N,NÃO ELEITO
2020,MG,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,43.0,40 – 49 ANOS,40 – 44 ANOS,SIM,NAO,N,NÃO ELEITO
2020,PA,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,35.0,30 – 39 ANOS,35 – 39 ANOS,NAO,SIM,N,NÃO ELEITO
2020,SC,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,43.0,40 – 49 ANOS,40 – 44 ANOS,SIM,SIM,N,NÃO ELEITO
2020,SE,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,52.0,50 – 59 ANOS,50 – 54 ANOS,NAO,NAO,N,NÃO ELEITO
2020,PB,MASCULINO,LÊ E ESCREVE,CASADO(A),PARDA,55.0,50 – 59 ANOS,55 – 59 ANOS,SIM,SIM,N,NÃO ELEITO
