ESTADO,GENERO,GRAU_INSTRUCAO,ESTADO_CIVIL,COR_RACA,FAIXA_ETARIA_IBGE,CIDNAS_IGUAL_CIDCAND,CAND_PURA_S_COLIG,REELEICAO,SITUACAO_FINAL
PB,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
MA,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,35 – 39 anos,NAO,NAO,N,NÃO ELEITO
SE,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
PB,MASCULINO,LÊ E ESCREVE,CASADO(A),PARDA,55 – 59 anos,SIM,SIM,N,NÃO ELEITO
SE,MASCULINO,LÊ E ESCREVE,DIVORCIADO(A),PARDA,55 – 59 anos,NAO,NAO,N,NÃO ELEITO
AL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,SIM,NAO,N,NÃO ELEITO
BA,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PRETA,35 – 39 anos,NAO,SIM,N,NÃO ELEITO
PB,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,40 – 44 anos,NAO,NAO,N,NÃO ELEITO
PI,FEMININO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,45 – 49 anos,SIM,NAO,N,NÃO ELEITO
PI,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,45 – 49 anos,SIM,NAO,N,NÃO ELEITO
MA,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,30 – 34 anos,NAO,NAO,N,NÃO ELEITO
MA,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),BRANCA,30 – 34 anos,NAO,NAO,N,ELEITO
RN,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,VIÚVO(A),PARDA,45 – 49 anos,SIM,NAO,N,NÃO ELEITO
PI,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45 – 49 anos,SIM,NAO,N,ELEITO
