ESTADO,GENERO,GRAU_INSTRUCAO,ESTADO_CIVIL,COR_RACA,FAIXA_ETARIA_IBGE,CIDNAS_IGUAL_CIDCAND,CAND_PURA_S_COLIG,REELEICAO,SITUACAO_FINAL
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,50 – 54 anos,SIM,SIM,N,NÃO ELEITO
SC,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,40 – 44 anos,SIM,SIM,N,NÃO ELEITO
SC,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,40 – 44 anos,NAO,NAO,N,ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
SC,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,50 – 54 anos,SIM,NAO,N,NÃO ELEITO
RS,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,55 – 59 anos,SIM,NAO,S,NÃO ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,SIM,NAO,N,ELEITO
SC,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,60 – 64 anos,SIM,NAO,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,60 – 64 anos,NAO,SIM,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,40 – 44 anos,NAO,SIM,N,NÃO ELEITO
PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,NAO,N,NÃO ELEITO
SC,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,40 – 44 anos,SIM,NAO,N,ELEITO
RS,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,50 – 54 anos,SIM,NAO,N,ELEITO
