ANO_ELEICAO,GENERO,GRAU_INSTRUCAO2,ESTADO_CIVIL2,COR_RACA2,FAIXA_ETARIA,SITUACAO_FINAL
2020,MASCULINO,SUPERIOR,DIVORCIADO(A),BRANCA,50 – 59 ANOS,NÃO ELEITO
2020,MASCULINO,SUPERIOR,CASADO(A),BRANCA,50 – 59 ANOS,NÃO ELEITO
2020,MASCULINO,MÉDIO,CASADO(A),PARDA,50 – 59 ANOS,NÃO ELEITO
2020,MASCULINO,MÉDIO,DIVORCIADO(A),BRANCA,40 – 49 ANOS,NÃO ELEITO
2020,MASCULINO,SUPERIOR,CASADO(A),PARDA,30 – 39 ANOS,NÃO ELEITO
2020,MASCULINO,LÊ E ESCREVE,CASADO(A),BRANCA,40 – 49 ANOS,NÃO ELEITO
2020,MASCULINO,SUPERIOR,SOLTEIRO(A),PARDA,30 – 39 ANOS,NÃO ELEITO
2020,MASCULINO,MÉDIO,CASADO(A),BRANCA,40 – 49 ANOS,NÃO ELEITO
2020,MASCULINO,MÉDIO,CASADO(A),BRANCA,50 – 59 ANOS,NÃO ELEITO
2020,MASCULINO,LÊ E ESCREVE,CASADO(A),PARDA,50 – 59 ANOS,NÃO ELEITO
2020,MASCULINO,FUNDAMENTAL,CASADO(A),PARDA,40 – 49 ANOS,NÃO ELEITO
2020,MASCULINO,SUPERIOR,DIVORCIADO(A),BRANCA,40 – 49 ANOS,ELEITO
2020,MASCULINO,SUPERIOR,CASADO(A),OUTRO,30 – 39 ANOS,ELEITO
2020,MASCULINO,LÊ E ESCREVE,DIVORCIADO(A),PARDA,50 – 59 ANOS,NÃO ELEITO
2020,MASCULINO,SUPERIOR,CASADO(A),BRANCA,50 – 59 ANOS,NÃO ELEITO
2020,MASCULINO,LÊ E ESCREVE,CASADO(A),BRANCA,60 OU SUPERIOR,NÃO ELEITO
2020,MASCULINO,SUPERIOR,CASADO(A),BRANCA,50 – 59 ANOS,NÃO ELEITO
2020,MASCULINO,SUPERIOR,DIVORCIADO(A),PARDA,40 – 49 ANOS,NÃO ELEITO
2020,MASCULINO,SUPERIOR,CASADO(A),PRETA,50 – 59 ANOS,NÃO ELEITO
2020,MASCULINO,FUNDAMENTAL,CASADO(A),BRANCA,60 OU SUPERIOR,ELEITO
